datetime,A,B,C,D,E,F,G,H,I,J,K,L,M
2024-02-01,4926.092455916393,1.0,106.30395357142878,2.0,0.0,10.0,154.95299999999952,154.95299999999952,11.0,154.95299999999952,1e+100,154.95299999999952,1e+100
2024-02-02,4873.294258535455,0.0,112.75155714285742,2.0,0.0,10.0,205.3739999999989,205.3739999999989,11.0,205.3739999999989,1e+100,205.3739999999989,1e+100
2024-02-05,4873.507545608682,0.0,112.49581428571457,3.0,0.0,10.0,186.0009999999993,186.0009999999993,11.0,186.0009999999993,1e+100,186.0009999999993,1e+100
2024-02-06,4875.474168328248,0.0,117.30136071428605,2.0,0.0,10.0,189.8159999999998,189.8159999999998,11.0,189.8159999999998,1e+100,189.8159999999998,1e+100
2024-02-07,4911.496459911836,0.0,125.23559285714339,2.0,0.0,10.0,224.7335000000012,224.7335000000012,11.0,224.7335000000012,1e+100,224.7335000000012,1e+100
2024-02-08,4917.213136916244,0.0,133.34142857142942,2.0,0.0,10.0,221.90850000000046,221.90850000000046,11.0,221.90850000000046,1e+100,221.90850000000046,1e+100
2024-02-09,4946.734480070431,0.0,141.62885714285795,2.0,0.0,10.0,244.63700000000063,244.63700000000063,11.0,244.63700000000063,1e+100,244.63700000000063,1e+100
2024-02-12,4947.57275606691,0.0,144.76073928571537,2.0,0.0,10.0,234.3785000000007,234.3785000000007,11.0,234.3785000000007,1e+100,234.3785000000007,1e+100
2024-02-13,4947.57275606691,0.0,131.05016785714415,3.0,0.0,10.0,158.47950000000037,158.47950000000037,11.0,158.47950000000037,1e+100,158.47950000000037,1e+100
2024-02-14,4947.57275606691,0.0,120.47606071428717,3.0,0.0,10.0,198.19250000000102,198.19250000000102,11.0,198.19250000000102,1e+100,198.19250000000102,1e+100
2024-02-15,4947.57275606691,0.0,114.69274285714427,3.0,0.0,10.0,222.14050000000134,222.14050000000134,11.0,222.14050000000134,1e+100,222.14050000000134,1e+100
2024-02-16,4947.57275606691,0.0,104.65975714285871,3.0,0.0,10.0,187.91250000000127,187.91250000000127,11.0,187.91250000000127,1e+100,187.91250000000127,1e+100
2024-02-20,4947.57275606691,0.0,88.75281071428745,3.0,0.0,10.0,144.37600000000202,144.37600000000202,11.0,144.37600000000202,1e+100,144.37600000000202,1e+100
2024-02-21,4947.57275606691,0.0,75.31153571428749,3.0,0.0,10.0,138.38650000000143,138.38650000000143,11.0,138.38650000000143,1e+100,138.38650000000143,1e+100
2024-02-22,4995.112268776978,0.0,78.35631071428737,2.0,0.0,10.0,234.06200000000172,234.06200000000172,11.0,234.06200000000172,1e+100,234.06200000000172,1e+100
2024-02-23,4998.517655338129,0.0,81.81611785714446,2.0,0.0,10.0,223.90500000000156,223.90500000000156,11.0,223.90500000000156,1e+100,223.90500000000156,1e+100
2024-02-26,5000.156272571223,0.0,80.12882500000151,3.0,0.0,10.0,193.9320000000016,193.9320000000016,11.0,193.9320000000016,1e+100,193.9320000000016,1e+100
2024-02-27,5002.247958942661,0.0,82.28760714285872,2.0,0.0,10.0,190.2425000000021,190.2425000000021,11.0,190.2425000000021,1e+100,190.2425000000021,1e+100
2024-02-28,5004.5930609955285,0.0,81.97974642857311,3.0,0.0,10.0,169.94300000000203,169.94300000000203,11.0,169.94300000000203,1e+100,169.94300000000203,1e+100
2024-02-29,5011.982907945752,0.0,77.41929285714443,3.0,0.0,10.0,187.09450000000197,187.09450000000197,11.0,187.09450000000197,1e+100,187.09450000000197,1e+100
2024-03-01,5052.370762548464,0.0,80.15732857142999,2.0,0.0,10.0,214.81400000000122,214.81400000000122,11.0,214.81400000000122,1e+100,214.81400000000122,1e+100
2024-03-04,5054.356724421041,0.0,83.24447857142998,2.0,0.0,10.0,196.2455000000018,196.2455000000018,11.0,196.2455000000018,1e+100,196.2455000000018,1e+100
2024-03-05,5054.356724421041,0.0,73.68780357142987,3.0,0.0,10.0,135.6585000000032,135.6585000000032,11.0,135.6585000000032,1e+100,135.6585000000032,1e+100
2024-03-06,5054.356724421041,0.0,69.44155357142972,3.0,0.0,10.0,155.5345000000034,155.5345000000034,11.0,155.5345000000034,1e+100,155.5345000000034,1e+100
2024-03-07,5068.97302535049,0.0,76.92400714285822,2.0,0.0,10.0,202.25450000000274,202.25450000000274,11.0,202.25450000000274,1e+100,202.25450000000274,1e+100
2024-03-08,5068.97302535049,0.0,76.5721071428583,3.0,0.0,10.0,157.66050000000268,157.66050000000268,11.0,157.66050000000268,1e+100,157.66050000000268,1e+100
2024-03-11,5068.97302535049,0.0,77.17586785714408,2.0,0.0,10.0,142.17950000000292,142.17950000000292,11.0,142.17950000000292,1e+100,142.17950000000292,1e+100
2024-03-12,5083.308051359876,0.0,87.45143214285837,2.0,0.0,10.0,190.60050000000228,190.60050000000228,11.0,190.60050000000228,1e+100,190.60050000000228,1e+100
2024-03-13,5085.180648791882,0.0,86.64334642857266,3.0,0.0,10.0,173.1090000000031,173.1090000000031,11.0,173.1090000000031,1e+100,173.1090000000031,1e+100
2024-03-14,5085.180648791882,0.0,85.37978571428721,3.0,0.0,10.0,151.0385000000033,151.0385000000033,11.0,151.0385000000033,1e+100,151.0385000000033,1e+100
2024-03-15,5085.180648791882,0.0,78.97063928571563,3.0,0.0,10.0,105.13750000000346,105.13750000000346,11.0,105.13750000000346,1e+100,105.13750000000346,1e+100
2024-03-18,5085.180648791882,0.0,74.58849642857305,3.0,0.0,10.0,125.92300000000341,125.92300000000341,11.0,125.92300000000341,1e+100,125.92300000000341,1e+100
2024-03-19,5085.950442195044,0.0,71.29466428571605,3.0,0.0,9.0,146.39700000000266,146.39700000000266,11.0,146.39700000000266,1e+100,146.39700000000266,1e+100
2024-03-20,5131.224920085291,0.0,68.86372142857311,3.0,0.0,9.0,185.71600000000217,185.71600000000217,11.0,185.71600000000217,1e+100,185.71600000000217,1e+100
2024-03-21,5149.158174081027,0.0,74.29622500000157,2.0,0.0,10.0,195.09950000000208,195.09950000000208,11.0,195.09950000000208,1e+100,195.09950000000208,1e+100
2024-03-22,5152.155265376975,0.0,77.29366785714437,2.0,0.0,10.0,179.6145000000024,179.6145000000024,11.0,179.6145000000024,1e+100,179.6145000000024,1e+100
2024-03-25,5154.816502108127,0.0,74.64835714285876,3.0,0.0,10.0,157.33650000000307,157.33650000000307,11.0,157.33650000000307,1e+100,157.33650000000307,1e+100
2024-03-26,5155.97867700272,0.0,69.52608928571604,3.0,0.0,10.0,138.16100000000188,138.16100000000188,11.0,138.16100000000188,1e+100,138.16100000000188,1e+100
2024-03-27,5162.627743152584,0.0,71.3667500000018,2.0,0.0,10.0,175.39850000000206,175.39850000000206,11.0,175.39850000000206,1e+100,175.39850000000206,1e+100
2024-03-28,5170.877355994955,0.0,75.1077250000018,2.0,0.0,10.0,170.65150000000267,170.65150000000267,11.0,170.65150000000267,1e+100,170.65150000000267,1e+100
2024-04-01,5171.575488195207,0.0,77.950621428573,2.0,0.0,10.0,152.599500000003,152.599500000003,11.0,152.599500000003,1e+100,152.599500000003,1e+100
2024-04-02,5171.575488195207,0.0,72.40310357143015,3.0,0.0,10.0,110.25050000000283,110.25050000000283,11.0,110.25050000000283,1e+100,110.25050000000283,1e+100
2024-04-03,5171.575488195207,0.0,60.9663500000014,3.0,0.0,10.0,108.73700000000281,108.73700000000281,11.0,108.73700000000281,1e+100,108.73700000000281,1e+100
2024-04-04,5237.869955808634,1.0,39.807996428572714,3.0,0.0,9.0,34.30700000000252,34.30700000000252,13.0,34.30700000000252,1e+100,34.30700000000252,1e+100
2024-04-05,5237.869955808634,1.0,34.9279000000013,3.0,0.0,9.0,79.31600000000344,79.31600000000344,11.0,79.31600000000344,1e+100,79.31600000000344,1e+100
2024-04-08,5237.869955808634,1.0,26.310125000001293,3.0,0.0,9.0,69.62000000000353,69.62000000000353,11.0,69.62000000000353,1e+100,69.62000000000353,1e+100
2024-04-09,5237.869955808634,1.0,17.9608214285727,3.0,0.0,9.0,69.89100000000326,69.89100000000326,11.0,69.89100000000326,1e+100,69.89100000000326,1e+100
2024-04-10,5237.869955808634,1.0,6.450117857143937,3.0,0.0,9.0,13.189000000003034,13.189000000003034,13.0,13.189000000003034,1e+100,13.189000000003034,1e+100
2024-04-11,5237.869955808634,1.0,1.776103571429502,3.0,0.0,9.0,45.31900000000405,45.31900000000405,11.0,45.31900000000405,1e+100,45.31900000000405,1e+100
2024-04-12,5225.626718720128,1.0,-17.493160714284826,4.0,0.0,9.0,-39.266499999996995,-39.266499999996995,12.0,-39.266499999996995,12.0,-39.266499999996995,1e+100
2024-04-15,5170.5213827841235,1.0,-47.098971428570366,4.0,0.0,9.0,-108.75949999999557,-108.75949999999557,12.0,-108.75949999999557,1e+100,-108.75949999999557,1e+100
2024-04-16,5158.676813644916,1.0,-72.56421428571315,4.0,0.0,10.0,-124.50499999999738,-124.50499999999738,12.0,-124.50499999999738,1e+100,-124.50499999999738,1e+100
2024-04-17,5131.203972962671,1.0,-96.17121071428426,4.0,0.0,10.0,-157.42799999999625,-157.42799999999625,12.0,-157.42799999999625,1e+100,-157.42799999999625,1e+100
2024-04-18,5120.121774314537,1.0,-116.61602499999846,4.0,0.0,10.0,-175.17999999999756,-175.17999999999756,12.0,-175.17999999999756,1e+100,-175.17999999999756,1e+100
2024-04-19,5077.34718559881,1.0,-138.3112999999983,4.0,0.0,10.0,-221.17149999999674,-221.17149999999674,12.0,-221.17149999999674,1e+100,-221.17149999999674,1e+100
2024-04-22,5077.34718559881,1.0,-148.2674642857125,4.0,0.0,10.0,-180.17149999999674,-180.17149999999674,12.0,-180.17149999999674,1e+100,-180.17149999999674,1e+100
2024-04-23,5077.34718559881,1.0,-145.47711071428375,5.0,0.0,10.0,-124.13649999999689,-124.13649999999689,12.0,-124.13649999999689,1e+100,-124.13649999999689,1e+100
2024-04-24,5077.34718559881,1.0,-141.94827142856943,5.0,0.0,10.0,-127.67599999999766,-127.67599999999766,12.0,-127.67599999999766,1e+100,-127.67599999999766,1e+100
2024-04-25,5077.34718559881,1.0,-136.36900357142662,5.0,0.0,10.0,-150.15449999999782,-150.15449999999782,12.0,-150.15449999999782,1e+100,-150.15449999999782,1e+100
2024-04-26,4985.149100576866,0.0,-118.13672499999788,5.0,0.0,10.0,-100.30199999999786,-100.30199999999786,12.0,-100.30199999999786,1e+100,-100.30199999999786,1e+100
2024-04-29,5003.615145548023,0.0,-95.83772499999799,5.0,0.0,10.0,-82.73849999999766,-82.73849999999766,13.0,-82.73849999999766,1e+100,-82.73849999999766,1e+100
